LAJI;pohj_etrs;ita_etrs;VAKAV_A;VV
MA;6680276.432;25501173.04;1;2010
MA;6671226.317;25493320.58;1;2010
MA;6672102.026;25496065.98;1;2010
MA;6682424.561;25497232.18;1;2010
MA;6677264.951;25496803.17;1;2010
MA;6671412.772;25497031.51;1;2010
MA;6677230.801;25494421.55;1;2010
MA;6677798.199;25504921.79;1;2010
MA;6676600.006;25497976.13;1;2010
MA;6673517.511;25502754.85;1;2010
MA;6677746.27;25504859.32;1;2010
JK;6680857.498;25503967.44;2;2010
MA;6683277.001;25509636.26;2;2010
MA;6680946.742;25500606.33;1;2010
MA;6674177.573;25495342.64;1;2010
MA;6672218.435;25492244.81;1;2010
MA;6672809.083;25496018.54;1;2010
MA;6672233.19;25492203.34;1;2010
MA;6676714.716;25507903.77;1;2010
MA;6677731.606;25504837.75;1;2010
MA;6675536.782;25497365.9;1;2010
MA;6676763.92;25508239.52;1;2010
MA;6673035.751;25497092.43;1;2010
MA;6676533.233;25497985.16;1;2010
MA;6672454.947;25496187.38;1;2010
MA;6679074.494;25496515.16;1;2010
MA;6682927.663;25503956.71;1;2010
MA;6681783.929;25500394.82;2;2010
MA;6676751.609;25497266.04;1;2010
MA;6674916.312;25496869.34;1;2010
MA;6675945.529;25507387.68;1;2010
MA;6676586.645;25496973.83;1;2010
MA;6677794.489;25493704.98;1;2010
MA;6676289.133;25496039.19;1;2010
MA;6679849.558;25492570.95;1;2010
MA;6672281.165;25496363.76;1;2010
MA;6682051.403;25497433.63;1;2010
MA;6671627.497;25493449.53;1;2010
MA;6675972.477;25494538.73;1;2010
JK;6672750.567;25497390.27;2;2010
MA;6682419.533;25500927.94;1;2010
MA;6675232.216;25495570.87;1;2010
MA;6684268.788;25499539.92;1;2010
MA;6674858.021;25497125.28;1;2010
MA;6683898.788;25501693.67;1;2010
MA;6681470.907;25500665.5;1;2010
MA;6675500.003;25496977.74;1;2010
MA;6675521.729;25494953.67;1;2010
MA;6679019.421;25497405.45;1;2010
MA;6673519.795;25497247.88;1;2010
MA;6684100.74;25501357.31;1;2010
MA;6677175.729;25497029.03;1;2010
MA;6676164.222;25496474.27;1;2010
JK;6679708.004;25501238.31;2;2010
MA;6675581.2;25494901.83;1;2010
